# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# H2O - 10 K
# http://www.astrochem.org/data/H2O.php

Freq.	%T,10K	Freq. 	n, 10K	k, 10K
#(cm-1)			(cm-1)
583.51	93.368	1116.4	1.2730	0.00020003
584.47	93.304	1118.3	1.2744	0.00020003
585.44	93.234	1120.2	1.2751	0.0021000
586.40	93.227	1122.2	1.2754	0.0021000
587.37	93.213	1124.1	1.2758	0.0021000
588.33	93.200	1126.0	1.2763	0.0021000
589.30	93.124	1128.0	1.2770	0.0021000
590.26	93.110	1129.9	1.2776	0.0021000
591.22	93.041	1131.8	1.2783	0.0021000
592.19	93.027	1133.7	1.2789	0.0021000
593.15	92.964	1135.7	1.2797	0.0022000
594.12	92.894	1137.6	1.2803	0.0022000
595.08	92.874	1139.5	1.2809	0.0022000
596.05	92.805	1141.5	1.2817	0.0022000
597.01	92.735	1143.4	1.2823	0.0022000
597.98	92.716	1145.3	1.2830	0.0022000
598.94	92.702	1147.2	1.2837	0.0023000
599.90	92.632	1149.2	1.2845	0.0023000
600.87	92.619	1151.1	1.2852	0.0023000
601.83	92.599	1153.0	1.2859	0.0023000
602.80	92.535	1155.0	1.2868	0.0023000
603.76	92.510	1156.9	1.2876	0.0024000
604.73	92.446	1158.8	1.2888	0.0024000
605.69	92.377	1160.7	1.2893	0.0041000
606.66	92.357	1162.7	1.2895	0.0041000
607.62	92.337	1164.6	1.2898	0.0041000
608.59	92.274	1166.5	1.2901	0.0041000
609.55	92.254	1168.5	1.2908	0.0041000
610.51	92.185	1170.4	1.2912	0.0042000
611.48	92.109	1172.3	1.2917	0.0042000
612.44	92.039	1174.3	1.2924	0.0042000
