# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:50:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
380.97	99.488	1.4913	0.018036
381.93	99.495	1.4923	0.017730
382.90	99.518	1.4949	0.016838
383.86	99.394	1.4964	0.021023
384.83	99.384	1.4970	0.021300
385.79	99.342	1.4973	0.022674
386.76	99.381	1.4989	0.021251
387.72	99.290	1.5003	0.024255
388.68	99.280	1.5009	0.024519
389.65	99.222	1.5018	0.026396
390.61	99.229	1.5023	0.026082
391.58	99.186	1.5036	0.027429
392.54	99.160	1.5041	0.028219
393.51	99.134	1.5052	0.028988
394.47	99.092	1.5055	0.030310
395.44	99.099	1.5065	0.029971
396.40	99.057	1.5075	0.031262
397.36	99.047	1.5085	0.031488
398.33	98.972	1.5094	0.033859
399.29	98.979	1.5096	0.033540
400.26	98.937	1.5108	0.034802
401.22	98.927	1.5114	0.035025
402.19	98.868	1.5124	0.036833
403.15	98.859	1.5127	0.037030
404.12	98.817	1.5137	0.038271
405.08	98.807	1.5142	0.038487
406.05	98.748	1.5152	0.040267
407.01	98.722	1.5153	0.041010
407.97	98.713	1.5157	0.041188
408.94	98.687	1.5169	0.041881
409.90	98.661	1.5174	0.042595
410.87	98.602	1.5183	0.044350
411.83	98.593	1.5182	0.044536
412.80	98.567	1.5191	0.045223
413.76	98.574	1.5200	0.044857
414.72	98.499	1.5207	0.047100
415.69	98.489	1.5217	0.047266
416.65	98.430	1.5218	0.049017
417.62	98.437	1.5228	0.048637
418.58	98.379	1.5232	0.050327
419.55	98.353	1.5241	0.050983
420.51	98.310	1.5242	0.052212
421.48	98.284	1.5249	0.052869
422.44	98.275	1.5252	0.053017
423.41	98.233	1.5265	0.054135
424.37	98.190	1.5269	0.055326
425.33	98.148	1.5270	0.056500
426.30	98.138	1.5280	0.056628
427.26	98.080	1.5280	0.058286
428.23	98.070	1.5290	0.058411
429.19	98.012	1.5289	0.060066
430.16	98.002	1.5298	0.060189
431.12	97.960	1.5298	0.061338
432.09	97.950	1.5311	0.061438
433.05	97.891	1.5313	0.063088
434.02	97.849	1.5321	0.064178
434.98	97.823	1.5321	0.064821
435.94	97.797	1.5324	0.065448
436.91	97.755	1.5336	0.066507
437.87	97.713	1.5334	0.067640
438.84	97.687	1.5343	0.068214
439.80	97.644	1.5341	0.069371
440.77	97.635	1.5353	0.069413
441.73	97.576	1.5355	0.071019
442.70	97.550	1.5367	0.071563
443.66	97.459	1.5366	0.074127
444.62	97.449	1.5361	0.074296
445.59	97.423	1.5371	0.074844
446.55	97.397	1.5371	0.075455
447.52	97.339	1.5381	0.076940
448.48	97.313	1.5378	0.077568
449.45	97.271	1.5388	0.078573
450.41	97.245	1.5385	0.079187
451.38	97.202	1.5397	0.080202
452.34	97.160	1.5398	0.081255
453.30	97.118	1.5398	0.082311
454.27	97.075	1.5407	0.083329
455.23	97.049	1.5405	0.083930
456.20	96.991	1.5415	0.085368
457.16	96.965	1.5410	0.085979
458.13	96.923	1.5421	0.086937
459.09	96.897	1.5419	0.087522
460.06	96.838	1.5432	0.088952
461.02	96.796	1.5432	0.089976
461.98	96.737	1.5431	0.091503
462.95	96.711	1.5441	0.091983
463.91	96.652	1.5437	0.093521
464.88	96.610	1.5446	0.094462
465.84	96.568	1.5439	0.095520
466.81	96.542	1.5451	0.095973
467.77	96.499	1.5450	0.097014
468.74	96.441	1.5465	0.098348
469.70	96.366	1.5461	0.10032
470.67	96.274	1.5464	0.10270
471.63	96.265	1.5456	0.10282
472.59	96.239	1.5455	0.10335
473.56	96.180	1.5466	0.10471
474.52	96.121	1.5457	0.10625
475.49	96.095	1.5467	0.10668
476.45	96.037	1.5461	0.10816
477.42	95.994	1.5471	0.10906
478.38	95.936	1.5463	0.11055
479.35	95.893	1.5473	0.11145
480.31	95.851	1.5472	0.11241
481.27	95.776	1.5470	0.11431
482.24	95.701	1.5476	0.11612
483.20	95.658	1.5462	0.11723
484.17	95.633	1.5471	0.11761
485.13	95.574	1.5462	0.11911
486.10	95.532	1.5473	0.11994
487.06	95.456	1.5462	0.12192
488.03	95.414	1.5469	0.12278
488.99	95.355	1.5463	0.12424
489.95	95.313	1.5456	0.12523
490.92	95.254	1.5464	0.12654
491.88	95.212	1.5452	0.12758
492.85	95.153	1.5461	0.12888
493.81	95.095	1.5447	0.13036
