# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:10:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
401.22	92.553	1.6272	0.072571
402.19	92.446	1.6284	0.075627
403.15	92.438	1.6281	0.075710
404.12	92.380	1.6295	0.077211
405.08	92.355	1.6298	0.077772
406.05	92.281	1.6313	0.079741
407.01	92.223	1.6315	0.081318
407.97	92.182	1.6316	0.082368
408.94	92.140	1.6329	0.083348
409.90	92.099	1.6332	0.084377
410.87	92.008	1.6344	0.086854
411.83	91.983	1.6339	0.087447
412.80	91.926	1.6349	0.088880
413.76	91.933	1.6356	0.088390
414.72	91.826	1.6363	0.091366
415.69	91.785	1.6374	0.092286
416.65	91.711	1.6369	0.094350
417.62	91.702	1.6382	0.094279
418.58	91.628	1.6382	0.096283
419.55	91.587	1.6395	0.097160
420.51	91.512	1.6392	0.099214
421.48	91.471	1.6401	0.10012
422.44	91.446	1.6400	0.10064
423.41	91.372	1.6415	0.10246
424.37	91.330	1.6417	0.10346
425.33	91.256	1.6417	0.10542
426.30	91.231	1.6431	0.10577
427.26	91.141	1.6427	0.10823
428.23	91.116	1.6441	0.10858
429.19	91.009	1.6434	0.11157
430.16	91.000	1.6442	0.11149
431.12	90.942	1.6438	0.11299
432.09	90.917	1.6454	0.11329
433.05	90.827	1.6450	0.11571
434.02	90.785	1.6462	0.11656
434.98	90.728	1.6461	0.11797
435.94	90.686	1.6461	0.11892
436.91	90.612	1.6476	0.12066
437.87	90.554	1.6467	0.12217
438.84	90.513	1.6480	0.12294
439.80	90.455	1.6473	0.12442
440.77	90.414	1.6489	0.12516
441.73	90.340	1.6484	0.12707
442.70	90.282	1.6498	0.12831
443.66	90.191	1.6494	0.13070
444.62	90.166	1.6487	0.13120
445.59	90.108	1.6501	0.13242
446.55	90.067	1.6495	0.13337
447.52	89.976	1.6509	0.13554
